step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.564005705317983,0,0.0,0.9181994244807267,0,0.0
10.0,0,0.0,0.0,13.116584075645426,0,0.0,0.9588951424557814,0,0.0
15.0,0,0.0,0.0,12.800544189085054,0,0.0,0.9353629953843122,0,0.0
20.0,0,0.0,0.0,13.16973106862624,0,0.0,0.9626994370259615,0,0.0
25.0,0,0.0,0.0,13.070383110038584,0,0.0,0.9552680665819864,0,0.0
30.0,0,0.0,0.0,13.044105088343649,0,0.0,0.9532838698989442,0,0.0
35.0,0,0.0,0.0,13.158946734532515,0,0.0,0.9614342436141524,0,0.0
40.0,0,0.0,0.0,12.97033159873056,0,0.0,0.9481569535481728,0,0.0
45.0,0,0.0,0.0,13.2194003572528,0,0.0,0.9658349272722463,0,0.0
50.0,0,0.0,0.0,13.195073138987992,0,0.0,0.9640988641515635,0,0.0
55.0,1,1.0,0.08333333333333333,11.449635251669982,1,1.0,0.847762909944326,1,1.0
60.0,2,8.0,0.6666666666666666,5.7017526181844955,2,8.0,0.40160148784156396,2,8.0
65.0,9,40.0,3.3333333333333335,1.9253636304397383,9,40.0,0.005034284872442587,9,40.0
70.0,10,88.0,7.333333333333333,2.167116025690272,10,88.0,1.1985549515804711e-05,10,88.0
75.0,6,87.0,3.625,8.190206497846862,6,97.0,0.6100917477714475,6,97.0
80.0,6,117.0,4.875,9.506742940763049,6,117.0,0.6424477844652617,6,117.0
85.0,6,147.0,6.125,9.554382320519068,6,147.0,0.6338116629698498,6,147.0
90.0,2,58.0,2.4166666666666665,10.551743848590712,2,79.0,0.7922151990260624,2,79.0
95.0,2,68.0,2.8333333333333335,11.688879667649289,2,68.0,0.8170717096519418,2,68.0
100.0,2,78.0,3.25,11.976261245514843,2,78.0,0.8230822222583782,2,78.0
105.0,2,88.0,3.6666666666666665,11.950056172435149,2,88.0,0.8164913419192885,2,88.0
