step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,12.319523357708144
10.0,0,0.0,0.0,12.745115076426623
15.0,0,0.0,0.0,12.887808808579704
20.0,0,0.0,0.0,12.949765532281537
25.0,0,0.0,0.0,12.665789471066224
30.0,0,0.0,0.0,12.86465222443428
35.0,0,0.0,0.0,12.702670241452031
40.0,0,0.0,0.0,12.785473625373692
45.0,0,0.0,0.0,12.779886751816116
50.0,0,0.0,0.0,12.799803183799655
55.0,0,0.0,0.0,9.9854220513661
60.0,5,10.0,0.8333333333333334,6.45753319099725
65.0,6,36.0,3.0,3.6644097573908283
70.0,8,73.0,6.083333333333333,4.006184897567009
75.0,8,113.0,4.708333333333333,8.884002886460229
80.0,8,153.0,6.375,8.872165917954996
85.0,8,193.0,8.041666666666666,9.09527440256362
90.0,8,233.0,9.708333333333334,8.983727124222405
95.0,8,273.0,11.375,8.899031404563582
100.0,8,313.0,13.041666666666666,8.914592888942188
105.0,8,353.0,14.708333333333334,8.960464643046343
110.0,8,393.0,16.375,9.003799018269255
115.0,8,433.0,18.041666666666668,9.044250576606144
120.0,8,473.0,20.565217391304348,8.54641814513749
125.0,9,516.0,22.434782608695652,5.929960853436222
130.0,15,575.0,26.136363636363637,2.252698001851606
135.0,19,664.0,31.61904761904762,0.5040845113189388
140.0,20,763.0,36.333333333333336,0.4603275981943973
145.0,20,863.0,26.151515151515152,5.48683944316481
150.0,20,963.0,29.181818181818183,5.2430069847560805
155.0,20,1063.0,33.21875,5.027546910005726
160.0,20,1163.0,36.34375,5.173037048917281
165.0,20,1263.0,39.46875,5.072310752759764
170.0,20,1363.0,42.59375,5.109166196053952
175.0,20,1463.0,45.71875,5.03405373934856
180.0,20,1563.0,48.84375,5.117383846766274
185.0,20,1663.0,51.96875,4.7820663389243165
190.0,21,1766.0,55.1875,4.483973468876063
195.0,21,1871.0,58.46875,4.21658280999042
200.0,24,1983.0,61.96875,2.5113478566474563
205.0,22,1663.0,51.96875,2.129441495205142
210.0,24,1781.0,55.65625,2.72866514544892
215.0,25,1904.0,59.5,2.562921732043772
220.0,26,2034.0,46.22727272727273,5.310663291616509
225.0,26,2164.0,49.18181818181818,5.344556265072037
230.0,26,2294.0,52.13636363636363,5.398424338899175
235.0,26,2424.0,55.09090909090909,5.342434975952039
240.0,26,2554.0,58.04545454545455,5.400129635503475
245.0,26,2684.0,61.0,5.436844925225249
250.0,26,2814.0,63.95454545454545,5.3846565107757005
255.0,26,2944.0,66.9090909090909,5.304832795510537
260.0,26,3074.0,69.86363636363636,5.431026086854687
265.0,26,3204.0,80.1,4.453412432968129
270.0,28,3337.0,87.8157894736842,2.9715302295595514
275.0,30,3483.0,91.65789473684211,2.214647710720832
280.0,31,3638.0,95.73684210526316,1.432872918841104
285.0,35,3807.0,100.1842105263158,0.7774900044225211
