step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,13.176512233533709
10.0,0,0.0,0.0,13.308660593041518
15.0,0,0.0,0.0,13.287523957441396
20.0,0,0.0,0.0,13.06346477825481
25.0,0,0.0,0.0,13.166624492811215
30.0,0,0.0,0.0,13.190155052099291
35.0,0,0.0,0.0,12.980317843511925
40.0,0,0.0,0.0,13.214752353575072
45.0,0,0.0,0.0,12.977195218574634
50.0,0,0.0,0.0,12.121587374568884
55.0,2,6.0,0.5,8.692743636700236
60.0,2,16.0,1.3333333333333333,9.367380507804862
65.0,3,27.0,2.25,6.923859588056413
70.0,5,32.0,2.6666666666666665,5.8146262750633975
75.0,6,61.0,2.5416666666666665,10.031681364442226
80.0,2,29.0,1.2083333333333333,10.913596094868746
85.0,2,39.0,1.625,12.212697062603183
90.0,2,49.0,2.0416666666666665,12.292346207307027
95.0,2,59.0,2.4583333333333335,12.009827840519714
100.0,2,69.0,2.875,12.043506988447815
105.0,2,79.0,3.2916666666666665,12.226961610605352
110.0,2,89.0,3.869565217391304,12.090964646363705
115.0,2,99.0,4.714285714285714,11.770412087324477
120.0,2,109.0,5.45,11.675135134918104
125.0,2,119.0,6.2631578947368425,10.721232446892765
130.0,5,136.0,7.157894736842105,7.347658619028533
135.0,4,151.0,8.38888888888889,6.838186712448928
140.0,7,180.0,10.588235294117647,7.382408794616515
145.0,6,205.0,7.592592592592593,10.119326996715317
150.0,6,235.0,8.703703703703704,10.283369344047626
155.0,0,0.0,0.0,11.443464129010634
160.0,0,0.0,0.0,12.948795935770507
165.0,0,0.0,0.0,13.109537569437244
170.0,0,0.0,0.0,13.16772269743786
175.0,0,0.0,0.0,13.242424857073065
180.0,0,0.0,0.0,13.169471105552812
185.0,0,0.0,0.0,13.025877742285866
190.0,0,0.0,0.0,12.96156817771434
195.0,0,0.0,0.0,12.501666989655218
200.0,1,4.0,0.2,11.595287981193486
205.0,4,14.0,0.7,8.328599549193225
210.0,5,32.0,1.6842105263157894,8.126861832229682
215.0,6,62.0,3.875,8.192835643768998
220.0,2,24.0,0.9230769230769231,10.78438034246533
225.0,2,34.0,1.4166666666666667,11.996644292300521
230.0,2,44.0,1.8333333333333333,12.267065220498202
235.0,2,54.0,2.25,12.199035176270323
240.0,2,64.0,2.6666666666666665,12.057169194862276
245.0,2,74.0,3.0833333333333335,12.192755191904444
250.0,0,0.0,0.0,12.703677381213552
255.0,0,0.0,0.0,13.146569485048492
260.0,0,0.0,0.0,13.164104189102426
265.0,0,0.0,0.0,13.126799902476924
270.0,0,0.0,0.0,11.855649072672687
275.0,4,10.0,0.5882352941176471,8.127926647167397
280.0,7,40.0,2.5,6.7264105536125
285.0,8,70.0,5.0,4.872800216409581
290.0,8,110.0,4.230769230769231,8.962703416912248
295.0,8,150.0,5.769230769230769,8.865363779880882
300.0,4,100.0,3.8461538461538463,9.772081662460607
305.0,4,120.0,4.615384615384615,10.924850455934918
310.0,4,140.0,5.384615384615385,10.939801949071967
315.0,4,160.0,6.666666666666667,10.837994540576497
320.0,4,180.0,7.5,10.757364180911708
325.0,4,200.0,8.333333333333334,10.801063198330061
330.0,4,220.0,9.565217391304348,10.685003235412976
335.0,4,240.0,10.909090909090908,10.610059198055655
340.0,4,260.0,11.818181818181818,9.509657731524761
345.0,6,285.0,13.571428571428571,7.111067292999732
350.0,2,12.0,0.5714285714285714,7.804604026081808
355.0,3,27.0,1.2857142857142858,10.12925184511174
360.0,3,35.0,1.9444444444444444,10.41758463875672
365.0,4,52.0,1.793103448275862,11.470966932287524
370.0,2,20.0,0.7142857142857143,11.959207948948205
375.0,2,30.0,1.0714285714285714,12.52251674724893
380.0,2,40.0,1.4285714285714286,12.75772997247322
385.0,2,50.0,1.7857142857142858,12.633045598069613
390.0,2,60.0,2.142857142857143,12.601776529610762
395.0,2,70.0,2.5925925925925926,12.50156955215275
400.0,2,80.0,2.962962962962963,12.496144801308974
405.0,2,90.0,3.75,12.28978123166799
410.0,2,100.0,5.0,11.988449323995004
415.0,4,113.0,5.947368421052632,7.603869253162905
420.0,6,136.0,7.555555555555555,7.448188750670933
425.0,9,173.0,10.8125,5.949369273154269
430.0,5,172.0,11.466666666666667,6.473333436136975
435.0,5,197.0,7.576923076923077,10.43855630294496
440.0,5,222.0,8.538461538461538,10.708363667240759
445.0,1,23.0,0.8846153846153846,11.580110610084944
450.0,1,28.0,1.0769230769230769,12.419167888298578
455.0,1,33.0,1.2692307692307692,12.512809682238997
460.0,1,38.0,1.4615384615384615,12.66013413885111
465.0,1,43.0,1.6538461538461537,12.696648043943993
470.0,1,48.0,1.8461538461538463,12.667923408802283
475.0,1,53.0,2.3043478260869565,12.337022204088703
480.0,1,58.0,2.6363636363636362,12.303305756007342
485.0,1,63.0,3.15,11.415330518946488
490.0,4,74.0,4.111111111111111,7.803400227217931
495.0,7,106.0,5.888888888888889,7.019745392858556
500.0,6,133.0,7.823529411764706,7.279575157337476
505.0,6,163.0,6.037037037037037,9.91266368698596
510.0,7,195.0,7.222222222222222,9.41947164421902
515.0,4,85.0,3.269230769230769,9.708239227263991
520.0,4,105.0,4.2,10.674397284656655
525.0,4,125.0,5.0,10.832805590592827
530.0,4,145.0,5.8,10.908541399891206
535.0,4,165.0,6.6,10.778239095062663
540.0,4,185.0,7.4,10.877136923517748
545.0,0,0.0,0.0,11.410007557889463
550.0,0,0.0,0.0,12.621773487780219
555.0,1,1.0,0.043478260869565216,11.88256851820862
560.0,3,9.0,0.42857142857142855,10.439579592774027
565.0,2,8.0,0.4,9.786132819628556
570.0,6,27.0,1.4210526315789473,8.277822760066892
575.0,6,54.0,3.176470588235294,7.854886331277547
580.0,7,87.0,3.107142857142857,9.940774106425014
585.0,6,94.0,3.357142857142857,10.064122314215464
590.0,6,124.0,4.428571428571429,10.493877162177117
595.0,6,154.0,5.5,10.493887177161074
600.0,6,184.0,6.814814814814815,10.274011105988087
605.0,6,214.0,8.56,10.061243233209844
610.0,2,62.0,2.48,10.861207342906273
615.0,2,72.0,3.0,11.958320563778651
620.0,2,82.0,3.727272727272727,11.885253790618897
625.0,2,92.0,4.380952380952381,11.637523241754788
630.0,4,105.0,5.0,9.806343952073531
635.0,8,134.0,6.380952380952381,6.433741565742865
640.0,8,165.0,8.25,6.2732269509225045
645.0,8,205.0,10.25,7.537974713616464
650.0,3,45.0,1.4516129032258065,10.470206791740774
655.0,3,60.0,2.0,11.583360121564493
660.0,3,75.0,2.5,11.78136745659204
665.0,3,90.0,3.103448275862069,11.670717102959891
670.0,2,74.0,2.642857142857143,11.793308588541942
675.0,2,84.0,3.111111111111111,12.086250777971813
680.0,2,94.0,3.6153846153846154,12.227149864689023
685.0,2,104.0,4.0,12.002335645789325
690.0,2,114.0,4.384615384615385,12.021434222529688
695.0,2,124.0,4.769230769230769,11.987336406797025
700.0,2,134.0,6.090909090909091,11.171588408392525
705.0,3,145.0,7.631578947368421,9.940859626540604
710.0,4,158.0,8.777777777777779,8.32823922370996
715.0,6,184.0,10.222222222222221,8.485023530735639
720.0,3,22.0,1.2222222222222223,9.079330054367638
725.0,3,37.0,1.3214285714285714,11.7044054761118
730.0,3,52.0,1.9259259259259258,11.739688731281277
735.0,4,71.0,2.730769230769231,11.55411407523573
740.0,2,60.0,2.3076923076923075,11.968921800861635
745.0,2,70.0,2.8,12.278906711533889
750.0,2,80.0,3.4782608695652173,11.974069922131433
755.0,2,90.0,4.090909090909091,11.893158183521011
760.0,2,100.0,4.545454545454546,12.0043308175233
765.0,2,110.0,5.0,11.776027362778926
770.0,2,120.0,6.0,11.660942611680424
775.0,2,130.0,6.842105263157895,9.550722744701208
780.0,5,148.0,8.222222222222221,6.889584432373469
785.0,8,183.0,10.764705882352942,6.389955667585372
790.0,5,52.0,3.25,6.106486672745301
795.0,6,82.0,2.9285714285714284,10.193545375408638
800.0,5,102.0,3.642857142857143,10.644048847514545
805.0,5,127.0,4.535714285714286,10.711685805462983
810.0,5,152.0,5.428571428571429,10.762716691620431
815.0,5,177.0,6.555555555555555,10.75531123512103
820.0,5,202.0,7.769230769230769,10.862128997315951
825.0,1,43.0,1.6538461538461537,11.497393405903667
830.0,1,48.0,1.92,12.514463771970748
835.0,1,53.0,2.409090909090909,12.767981889971525
840.0,1,58.0,2.6363636363636362,12.729908341415392
845.0,2,64.0,2.909090909090909,11.787685471280499
850.0,5,77.0,3.6666666666666665,8.212449182592726
855.0,9,116.0,6.105263157894737,5.60140833204926
860.0,7,121.0,6.722222222222222,6.466977191184297
865.0,7,156.0,5.379310344827586,10.686545211968312
870.0,2,31.0,1.0333333333333334,11.520231017668925
875.0,2,41.0,1.4137931034482758,12.720541555453147
880.0,2,51.0,1.8214285714285714,12.798933744273336
885.0,2,61.0,2.3461538461538463,12.786402396244434
890.0,2,71.0,2.84,12.773981714346226
895.0,2,81.0,3.24,12.870500769766638
900.0,2,91.0,3.7916666666666665,12.650542619819815
905.0,2,101.0,4.208333333333333,12.570039701406749
910.0,2,111.0,5.045454545454546,12.436518954618606
915.0,2,121.0,5.761904761904762,10.545621152734105
920.0,6,143.0,7.526315789473684,8.360272894397163
925.0,4,20.0,1.0526315789473684,6.72978916484612
930.0,8,52.0,3.466666666666667,6.077975360327731
935.0,5,69.0,4.928571428571429,7.055187215693549
940.0,5,94.0,3.6153846153846154,10.880895521969506
945.0,2,42.0,1.6153846153846154,11.461451980785467
950.0,2,52.0,2.0,12.500985162811343
955.0,2,62.0,2.3846153846153846,12.528040249031243
960.0,2,72.0,2.88,12.483702279778882
965.0,2,82.0,3.28,12.383714934657082
970.0,2,92.0,3.68,12.314643740097
975.0,2,102.0,4.08,12.30978208071993
980.0,2,112.0,4.666666666666667,12.308625206571714
985.0,2,122.0,5.545454545454546,12.026497615780283
990.0,3,134.0,6.7,10.40354552622951
995.0,5,145.0,8.055555555555555,8.303564548905296
1000.0,7,174.0,11.6,6.246713173949761
1005.0,4,36.0,2.5714285714285716,7.53611503323563
1010.0,4,56.0,2.1538461538461537,11.076900034112224
1015.0,4,76.0,2.923076923076923,11.289588934868782
1020.0,4,96.0,3.6923076923076925,11.16975953609098
1025.0,4,116.0,4.461538461538462,11.117449605475388
1030.0,2,68.0,2.6153846153846154,11.592002787742503
1035.0,2,78.0,3.0,12.270270702371265
1040.0,2,88.0,3.3846153846153846,12.272114296188
1045.0,2,98.0,4.083333333333333,12.107098833049383
1050.0,2,108.0,4.909090909090909,11.795876257102215
1055.0,2,118.0,5.363636363636363,11.078218179574016
1060.0,2,128.0,5.818181818181818,10.803959738302721
1065.0,3,139.0,6.95,9.582902209430587
1070.0,4,156.0,9.176470588235293,7.09012864609603
1075.0,7,189.0,11.117647058823529,6.774688090948494
1080.0,4,46.0,2.7058823529411766,8.009406790530146
1085.0,4,66.0,2.4444444444444446,11.063942936294763
1090.0,4,86.0,3.185185185185185,11.250257433331514
1095.0,4,106.0,4.076923076923077,11.28463030828659
1100.0,2,68.0,2.6153846153846154,11.715701373716785
1105.0,2,78.0,3.0,12.442220363234727
1110.0,2,88.0,3.52,11.983585748731098
1115.0,2,98.0,4.083333333333333,11.9590229500568
1120.0,2,108.0,4.5,12.107023818847935
1125.0,2,118.0,4.916666666666667,12.024066551059542
1130.0,2,128.0,5.818181818181818,11.598236188733445
1135.0,4,141.0,6.409090909090909,9.520013899854614
1140.0,4,12.0,0.5714285714285714,7.573011621794344
1145.0,7,41.0,2.411764705882353,6.16385488718823
1150.0,9,84.0,4.9411764705882355,6.1523830954918255
1155.0,6,91.0,3.25,9.146067937895909
1160.0,6,121.0,4.481481481481482,10.014582217608611
1165.0,2,53.0,2.0384615384615383,11.105104208957375
1170.0,2,63.0,2.423076923076923,12.219805753782955
1175.0,2,73.0,2.8076923076923075,12.180482593375375
