step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,13.073068713339618
10.0,0,0.0,0.0,13.164160967943289
15.0,0,0.0,0.0,13.171458688049528
20.0,0,0.0,0.0,13.0913360371614
25.0,0,0.0,0.0,13.306333306962495
30.0,0,0.0,0.0,13.370469629883951
35.0,0,0.0,0.0,13.32019193190797
40.0,0,0.0,0.0,13.090337999585193
45.0,0,0.0,0.0,13.09774067008791
50.0,1,1.0,0.08333333333333333,11.856131719759489
55.0,0,0.0,0.0,11.29420063607894
60.0,2,5.0,0.4166666666666667,10.434093362953707
65.0,4,18.0,1.5,7.95772337004771
70.0,5,40.0,3.3333333333333335,7.9297882328573905
75.0,3,36.0,1.5,10.265574288532513
80.0,4,56.0,2.3333333333333335,11.028117303292333
85.0,1,17.0,0.7083333333333334,11.48581848013064
90.0,1,22.0,0.9166666666666666,12.452622604164198
95.0,0,0.0,0.0,12.786592031742808
100.0,0,0.0,0.0,13.075224959504348
105.0,0,0.0,0.0,12.819571869902232
110.0,0,0.0,0.0,12.812451625391379
115.0,0,0.0,0.0,12.49751790916484
120.0,0,0.0,0.0,12.273544230782445
125.0,0,0.0,0.0,11.837672983495992
130.0,1,3.0,0.16666666666666666,10.438656669837593
135.0,4,19.0,1.1176470588235294,7.8124628403393235
140.0,6,48.0,3.0,6.54006792089044
145.0,4,33.0,1.2692307692307692,9.677153992366016
150.0,5,55.0,2.1153846153846154,10.17564881997434
155.0,2,39.0,1.5,10.835691358530097
160.0,2,49.0,1.96,11.617950250124029
165.0,0,0.0,0.0,12.208249365092753
170.0,0,0.0,0.0,12.723261416585258
175.0,0,0.0,0.0,12.525062835684555
180.0,0,0.0,0.0,12.566830948331619
185.0,0,0.0,0.0,12.579912473249552
190.0,0,0.0,0.0,12.507385047710766
195.0,0,0.0,0.0,12.497919402723605
200.0,1,3.0,0.15,10.720143735407593
205.0,3,14.0,0.7368421052631579,9.328510616826108
210.0,4,33.0,1.9411764705882353,7.913516018673401
215.0,4,31.0,1.8235294117647058,7.447395631945229
220.0,6,60.0,2.142857142857143,9.54155077504679
225.0,3,48.0,1.8461538461538463,10.141145789633905
230.0,3,63.0,2.423076923076923,10.907822789871666
235.0,0,0.0,0.0,11.784633414434774
240.0,0,0.0,0.0,12.513759566608291
245.0,0,0.0,0.0,12.429695749963892
250.0,0,0.0,0.0,12.69256018998667
255.0,0,0.0,0.0,12.519150851026819
260.0,0,0.0,0.0,12.550573119695942
265.0,0,0.0,0.0,12.516984260675127
270.0,0,0.0,0.0,10.697408702481795
275.0,1,4.0,0.21052631578947367,9.638103015327749
280.0,4,19.0,1.0,9.33463649178107
285.0,5,41.0,2.2777777777777777,8.443112524355898
290.0,5,66.0,2.2,10.463328132816152
295.0,2,42.0,1.4482758620689655,11.096365107101326
300.0,3,54.0,2.076923076923077,11.462946654843062
305.0,2,62.0,2.5833333333333335,11.663187928091567
310.0,2,72.0,3.0,11.88608004639142
315.0,0,0.0,0.0,12.446909930738913
320.0,0,0.0,0.0,12.808184755958628
325.0,0,0.0,0.0,12.813997868233534
330.0,0,0.0,0.0,12.77366026216289
335.0,0,0.0,0.0,12.847286588213606
340.0,0,0.0,0.0,11.749933606153345
345.0,3,9.0,0.45,8.920157625780103
350.0,8,38.0,1.9,6.771225178448094
355.0,6,52.0,3.0588235294117645,5.721697867687288
360.0,7,87.0,5.4375,7.01876091222555
365.0,3,50.0,1.8518518518518519,10.71918280955871
370.0,3,65.0,2.5,11.696192706661817
375.0,1,20.0,0.8,12.442758429567967
380.0,1,25.0,1.0,12.937770012568171
385.0,0,0.0,0.0,13.46138902341989
390.0,0,0.0,0.0,13.810969945207185
395.0,0,0.0,0.0,13.64316136516466
400.0,0,0.0,0.0,13.717035860073429
405.0,0,0.0,0.0,13.511979938645835
410.0,1,2.0,0.09090909090909091,12.823626358587502
415.0,1,7.0,0.3333333333333333,9.714948981549602
420.0,7,32.0,1.7777777777777777,6.887840652145945
425.0,7,63.0,3.7058823529411766,6.808985384420009
430.0,8,101.0,7.214285714285714,5.880806625541122
435.0,4,70.0,2.8,10.063820221449356
440.0,4,90.0,3.6,11.278671328247203
445.0,0,0.0,0.0,12.403606305273243
450.0,0,0.0,0.0,13.449192399700255
455.0,0,0.0,0.0,13.774505915296357
460.0,0,0.0,0.0,13.59921027118009
465.0,0,0.0,0.0,13.709095139613817
470.0,0,0.0,0.0,13.582944142000626
475.0,0,0.0,0.0,13.450119623175073
480.0,0,0.0,0.0,12.991345775163657
485.0,0,0.0,0.0,11.74343501985133
490.0,2,6.0,0.3157894736842105,9.963754424355857
495.0,5,27.0,1.588235294117647,7.4407033584235185
500.0,7,61.0,4.066666666666666,7.009647925731548
505.0,5,64.0,2.56,10.256058671033882
510.0,6,90.0,3.75,10.02311205803826
515.0,2,25.0,1.0416666666666667,10.973598713141334
520.0,2,35.0,1.4583333333333333,12.220937259375896
525.0,0,0.0,0.0,12.778497134248923
530.0,0,0.0,0.0,13.239069396281396
535.0,0,0.0,0.0,13.203377432642382
540.0,0,0.0,0.0,13.178260244619425
545.0,0,0.0,0.0,13.170474881319452
550.0,0,0.0,0.0,13.126584425230465
555.0,0,0.0,0.0,12.836353382354527
560.0,1,3.0,0.15789473684210525,11.464471421999606
565.0,4,7.0,0.3888888888888889,9.050817754049588
570.0,6,31.0,1.8235294117647058,7.663116168638774
575.0,6,54.0,3.6,7.425113120842469
580.0,6,84.0,3.230769230769231,10.154240384477088
585.0,4,70.0,2.6923076923076925,10.603762063325066
590.0,4,90.0,3.6,11.216003148997304
595.0,0,0.0,0.0,12.133457018102408
600.0,0,0.0,0.0,13.256082470263328
605.0,0,0.0,0.0,13.303907613515785
610.0,0,0.0,0.0,13.29192630786892
615.0,0,0.0,0.0,13.248533199333906
620.0,0,0.0,0.0,12.932387018778854
625.0,0,0.0,0.0,12.526468361524568
630.0,1,4.0,0.2,11.698870326683492
635.0,2,11.0,0.5789473684210527,9.69542548876725
640.0,5,32.0,1.7777777777777777,9.277768293164582
645.0,3,30.0,1.875,8.744370292354258
650.0,5,52.0,1.8571428571428572,10.600833377307596
655.0,3,37.0,1.3703703703703705,11.198490089597037
660.0,3,52.0,2.08,11.799183826234817
665.0,2,48.0,2.0,12.069921584090139
670.0,2,58.0,2.4166666666666665,12.219639598166935
675.0,2,68.0,2.8333333333333335,12.304210599128718
680.0,2,78.0,3.5454545454545454,12.004067593684125
685.0,2,88.0,4.0,12.1853577583047
690.0,2,98.0,4.666666666666667,11.878066427224304
695.0,2,108.0,5.142857142857143,10.911969647277092
700.0,4,124.0,6.2,9.185188661634827
705.0,3,17.0,0.9444444444444444,8.263893875522584
710.0,4,34.0,2.0,8.98132743732684
715.0,2,19.0,1.2666666666666666,7.917903469134813
720.0,5,40.0,2.6666666666666665,7.9738604030538065
725.0,2,34.0,1.2592592592592593,11.067403324314718
730.0,2,44.0,1.6296296296296295,11.941389854063573
