step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.185123359807164,0,0.0,0.9266261890095663,0,0.0
10.0,0,0.0,0.0,12.315077291297841,0,0.0,0.9366484536437732,0,0.0
15.0,0,0.0,0.0,12.473675098827767,0,0.0,0.9497188093688208,0,0.0
20.0,0,0.0,0.0,12.574159933104497,0,0.0,0.9550562970285058,0,0.0
25.0,0,0.0,0.0,12.542496988152813,0,0.0,0.9533440077399583,0,0.0
30.0,0,0.0,0.0,12.737877962641997,0,0.0,0.9679535633816073,0,0.0
35.0,0,0.0,0.0,12.724203340271657,0,0.0,0.9676261567855061,0,0.0
40.0,0,0.0,0.0,12.676190665991703,0,0.0,0.9623223028445689,0,0.0
45.0,0,0.0,0.0,12.425760807194706,0,0.0,0.9446592599822742,0,0.0
50.0,0,0.0,0.0,12.4703877295433,0,0.0,0.947457942995002,0,0.0
55.0,0,0.0,0.0,12.299353944004139,0,0.0,0.9362786868334968,0,0.0
60.0,2,4.0,0.3333333333333333,8.809106779811493,2,4.0,0.6631079238805141,2,4.0
65.0,4,20.0,1.6666666666666667,5.406448947853719,4,20.0,0.26403942591467555,4,20.0
70.0,8,55.0,4.583333333333333,3.9227073157456043,8,55.0,0.00013278355681023698,8,55.0
75.0,8,95.0,3.9583333333333335,8.643213329864372,8,95.0,0.5825448535328015,8,95.0
80.0,6,108.0,4.5,8.960730059985849,6,108.0,0.6337647966961245,6,108.0
85.0,6,138.0,5.75,9.54298652176687,6,138.0,0.6344136250998953,6,138.0
90.0,6,168.0,7.0,9.633788009709484,6,168.0,0.6380801128389101,6,168.0
95.0,2,67.0,2.7916666666666665,10.371722785767998,2,122.0,0.7507587674327761,2,122.0
100.0,2,77.0,3.2083333333333335,11.430332834035395,2,77.0,0.8171329276457823,2,77.0
105.0,2,87.0,3.625,11.572013715138022,2,87.0,0.8172030834422135,2,87.0
110.0,0,0.0,0.0,12.098711984731203,0,0.0,0.953034641981697,0,0.0
115.0,0,0.0,0.0,12.67551343970997,0,0.0,0.9513385341360138,0,0.0
120.0,0,0.0,0.0,12.656191546798835,0,0.0,0.9549920935162916,0,0.0
125.0,0,0.0,0.0,12.418694273009917,0,0.0,0.9283024715685716,0,0.0
130.0,1,3.0,0.14285714285714285,9.541732255392862,1,3.0,0.5875669755309941,1,3.0
135.0,6,26.0,1.3,6.7617608856991795,6,26.0,0.19097467603747365,6,26.0
140.0,6,44.0,2.3157894736842106,6.2227647099232035,6,51.0,0.023004331337499923,6,51.0
145.0,7,78.0,2.6,10.305332468407569,7,78.0,0.6111111111111112,7,78.0
150.0,7,113.0,3.7666666666666666,10.187038297291524,7,113.0,0.6001659169915909,7,113.0
155.0,3,53.0,1.8275862068965518,10.934500191516685,3,53.0,0.7713699190872156,3,53.0
160.0,3,68.0,2.4285714285714284,11.886682624720507,3,68.0,0.7674463955767429,3,68.0
165.0,3,83.0,3.1923076923076925,11.80568585861415,3,83.0,0.753907730934447,3,83.0
170.0,1,29.0,1.16,12.414076556439051,1,29.0,0.8896484014392668,1,29.0
175.0,1,34.0,1.36,12.769927868283407,1,34.0,0.8755231829134608,1,34.0
180.0,1,39.0,1.625,12.754768809359271,1,39.0,0.8826471559780834,1,39.0
185.0,0,0.0,0.0,13.10244138145678,0,0.0,0.9601922071813896,0,0.0
190.0,0,0.0,0.0,13.259244755772285,0,0.0,0.9500614359873579,0,0.0
195.0,1,2.0,0.08333333333333333,11.398343168012309,1,2.0,0.7177039239987358,1,2.0
200.0,4,19.0,0.95,9.5907018113241,4,19.0,0.5359397515782303,4,19.0
205.0,2,17.0,0.8947368421052632,7.955605196483882,2,20.0,0.2961419224512803,2,20.0
210.0,6,44.0,2.4444444444444446,8.656482231071411,6,44.0,0.13936562915886755,6,44.0
215.0,6,74.0,4.625,7.659916996018548,6,74.0,0.024304461954174423,6,74.0
220.0,5,69.0,2.5555555555555554,10.193375166534247,5,69.0,0.6746361177263974,5,69.0
225.0,5,94.0,3.4814814814814814,10.69036550738347,5,94.0,0.6621242679716305,5,94.0
230.0,5,119.0,4.407407407407407,10.720604583830301,5,119.0,0.6679231907777209,5,119.0
235.0,4,116.0,4.64,10.900989568731877,4,116.0,0.7130196201502762,4,116.0
240.0,4,136.0,5.44,11.115732581984917,4,136.0,0.7097076525055407,4,136.0
245.0,4,156.0,6.24,11.172274442521669,4,156.0,0.7175143393188045,4,156.0
250.0,4,176.0,7.04,10.971889686275553,4,176.0,0.7125236767762393,4,176.0
255.0,4,196.0,8.909090909090908,10.860209338382086,4,196.0,0.7134292880214613,4,196.0
260.0,4,216.0,10.285714285714286,10.56962650217264,4,216.0,0.7151250998093464,4,216.0
265.0,4,236.0,11.8,10.243689982042131,4,236.0,0.7027893667621758,4,236.0
270.0,5,257.0,13.526315789473685,8.613468596453727,5,257.0,0.593813832630025,5,257.0
275.0,8,287.0,15.944444444444445,6.026705667951728,8,287.0,0.4014615079632081,8,287.0
280.0,9,326.0,18.11111111111111,3.301351925916292,9,326.0,0.11208383667304249,9,326.0
285.0,13,387.0,22.764705882352942,2.323081156706219,13,387.0,0.0011807828376117148,13,387.0
290.0,14,457.0,15.758620689655173,6.927457856500731,14,457.0,0.4352337978963978,14,457.0
295.0,10,460.0,16.428571428571427,7.398393970417976,10,481.0,0.49921058131604396,10,481.0
300.0,10,510.0,18.214285714285715,8.529685505951276,10,510.0,0.5244117675659813,10,510.0
305.0,10,560.0,20.0,8.652393958311514,10,560.0,0.5214459863228987,10,560.0
310.0,8,553.0,19.75,9.087432864663976,8,553.0,0.5726583046307054,8,553.0
315.0,8,593.0,21.178571428571427,9.44209830523612,8,593.0,0.5756108074915834,8,593.0
320.0,8,633.0,22.607142857142858,9.420242243574238,8,633.0,0.5664289466995331,8,633.0
325.0,8,673.0,24.035714285714285,9.505248199019718,8,673.0,0.5758969566981564,8,673.0
330.0,8,713.0,25.464285714285715,9.350055179154339,8,713.0,0.5680873897032923,8,713.0
335.0,8,753.0,26.892857142857142,9.464024688332756,8,753.0,0.5701342418820516,8,753.0
340.0,8,793.0,29.37037037037037,7.826652770209138,8,793.0,0.4446922428921391,8,793.0
345.0,11,843.0,32.42307692307692,6.455900147714687,11,843.0,0.2585933932470421,11,843.0
350.0,14,905.0,36.2,4.870967473450303,14,905.0,0.1040789650336065,14,905.0
355.0,16,981.0,39.24,4.636145136191196,16,981.0,0.0002160759120397976,16,981.0
360.0,14,1036.0,45.04347826086956,4.48356607649474,14,1036.0,5.779118379550056e-07,14,1036.0
365.0,14,1106.0,32.529411764705884,7.656240877759137,14,1106.0,0.44351156313205625,14,1106.0
370.0,14,1176.0,34.588235294117645,7.597122508201899,14,1176.0,0.44094850073272224,14,1176.0
375.0,12,1190.0,36.06060606060606,7.808416183321754,12,1190.0,0.47188240172885765,12,1190.0
380.0,12,1250.0,39.0625,8.261028975455364,12,1250.0,0.4788937853943047,12,1250.0
385.0,12,1310.0,40.9375,8.291491673494994,12,1310.0,0.4797073962496759,12,1310.0
390.0,12,1370.0,44.193548387096776,8.012916142294406,12,1370.0,0.47832749487622833,12,1370.0
395.0,12,1430.0,46.12903225806452,7.973395671859156,12,1430.0,0.47159070105757644,12,1430.0
400.0,12,1490.0,49.666666666666664,7.741991664116622,12,1490.0,0.4754307672078108,12,1490.0
405.0,12,1550.0,53.44827586206897,7.613836645525425,12,1550.0,0.48322978010327833,12,1550.0
410.0,12,1610.0,55.51724137931034,7.627810719549234,12,1610.0,0.4755624484115209,12,1610.0
415.0,13,1671.0,57.62068965517241,6.626131142556234,13,1671.0,0.40041763623104615,13,1671.0
420.0,16,1742.0,67.0,4.1017911318156255,16,1742.0,0.2149023373275819,16,1742.0
425.0,5,112.0,4.3076923076923075,5.175540773441852,5,724.0,0.22754490368517563,5,724.0
