step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,13.528207941985746
10.0,0,0.0,0.0,13.798972559321726
15.0,0,0.0,0.0,13.809591027816035
20.0,0,0.0,0.0,13.448873683960777
25.0,0,0.0,0.0,13.53355977442812
30.0,0,0.0,0.0,13.650566723839127
35.0,0,0.0,0.0,13.535041062434104
40.0,0,0.0,0.0,13.630376289887915
45.0,0,0.0,0.0,12.804117889708197
50.0,1,3.0,0.25,11.930212163463283
55.0,1,8.0,0.6666666666666666,10.888474377712141
60.0,4,20.0,1.6666666666666667,6.966305022831615
65.0,5,44.0,3.6666666666666665,6.480397115649226
70.0,7,75.0,6.25,5.692568105242402
75.0,7,110.0,4.583333333333333,9.302161030903378
80.0,7,145.0,6.041666666666667,9.578577844408752
85.0,7,180.0,7.5,9.44187312555071
90.0,5,158.0,6.583333333333333,10.028779188817312
95.0,5,183.0,7.625,10.606756864072414
100.0,5,208.0,9.043478260869565,10.251201127337524
105.0,5,233.0,10.130434782608695,10.293094248941726
110.0,5,258.0,11.217391304347826,10.445749267042482
115.0,5,283.0,12.304347826086957,10.409431071198412
120.0,5,308.0,14.666666666666666,9.649106816485402
125.0,5,333.0,17.526315789473685,8.735483116294018
130.0,9,365.0,19.210526315789473,5.948307207114007
135.0,10,415.0,21.842105263157894,5.405618626854334
140.0,12,471.0,24.789473684210527,4.477731142776019
145.0,13,534.0,17.8,7.800294913137454
150.0,13,599.0,19.966666666666665,7.579244964968071
155.0,11,619.0,21.344827586206897,7.738554839399376
160.0,11,674.0,23.24137931034483,8.342292013299657
165.0,11,729.0,25.137931034482758,8.299013042198789
170.0,11,784.0,28.0,7.9947111893505225
175.0,3,186.0,6.642857142857143,9.19710794737406
180.0,3,201.0,7.444444444444445,11.152770589206552
185.0,3,216.0,8.0,11.898158525574827
190.0,3,231.0,8.555555555555555,11.825557833847082
195.0,3,246.0,9.461538461538462,11.621655202897056
200.0,4,264.0,10.56,10.165130630045644
205.0,3,11.0,0.44,9.359731056493622
210.0,6,36.0,1.44,9.160581782945178
215.0,6,59.0,2.4583333333333335,9.399230297452418
220.0,6,89.0,2.5428571428571427,10.978680745215893
225.0,6,119.0,3.5,10.839571788119835
230.0,6,149.0,4.65625,10.576731330636907
235.0,6,179.0,6.172413793103448,10.272363363653273
240.0,6,209.0,7.464285714285714,10.282899248363732
245.0,6,239.0,8.851851851851851,10.03047630074766
250.0,6,269.0,10.346153846153847,9.970690685948059
255.0,6,299.0,11.5,9.960979396309407
260.0,6,329.0,13.16,9.71563294608395
265.0,6,359.0,15.608695652173912,9.445915503260364
270.0,6,389.0,17.681818181818183,8.090864412154122
275.0,8,425.0,22.36842105263158,6.0499651475162155
280.0,10,474.0,26.333333333333332,4.320891639786679
285.0,14,535.0,29.72222222222222,2.709491830826718
290.0,14,605.0,20.166666666666668,7.083194028805482
295.0,14,675.0,22.5,7.106915560762299
300.0,14,745.0,24.833333333333332,7.251319937768291
305.0,14,815.0,27.166666666666668,7.209961181600632
310.0,14,885.0,29.5,7.188746490682065
315.0,14,955.0,31.833333333333332,7.168146933332141
320.0,14,1025.0,35.3448275862069,6.743788281620512
325.0,14,1095.0,37.758620689655174,6.9110542259768035
330.0,14,1165.0,43.148148148148145,6.3333207003734975
335.0,14,1235.0,45.74074074074074,6.273112821843581
340.0,15,1306.0,48.370370370370374,5.638477180580845
345.0,16,1384.0,51.25925925925926,4.143687196479553
350.0,20,1478.0,54.74074074074074,2.3530377854328344
355.0,22,1584.0,60.92307692307692,2.0255467356915657
360.0,22,1694.0,65.15384615384616,2.082365020942971
365.0,22,1804.0,47.473684210526315,5.567677265860306
370.0,22,1914.0,50.36842105263158,5.556919190308442
375.0,22,2024.0,53.26315789473684,5.591833087724751
380.0,22,2134.0,56.1578947368421,5.556073437744501
385.0,22,2244.0,59.05263157894737,5.56710805955688
390.0,22,2354.0,61.94736842105263,5.625005570768495
395.0,22,2464.0,64.84210526315789,5.525233405220071
400.0,22,2574.0,67.73684210526316,5.602961418258755
